,cmo.PC1,cmo.PC2,cmo.PC3
x1.1,-0.0400386006579946,-0.309409879335725,-0.0234983079250079
y1.1,-0.173138849562341,0.109321029277978,0.0725930592618267
x2.1,0.116689547365129,0.0653067648708761,-0.159615949423482
y2.1,-0.0145503673243399,0.0103347287921956,-0.0267282880257831
x3.1,0.167774116662131,0.0948707945763033,-0.183475874965069
y3.1,0.0626000243485248,-0.0868745270820311,-0.000401487805906958
x4.1,0.25698746607175,-0.236090593324034,0.495159165427286
y4.1,0.132874209518286,-0.162439208000468,0.0512589831284355
x5.1,-0.058843167283106,0.0769951479025571,0.0588246830155165
y5.1,0.150964780551749,0.000366380961535951,-0.056714033002491
x6.1,-0.048161783639095,0.135869571695495,0.0180967717979498
y6.1,0.146089428648326,0.00614221040063697,-0.0288183916935678
x7.1,-0.205168848117811,-0.405969219460292,-0.166933282917011
y7.1,-0.186003415530797,0.0118955961139973,0.0422841536408428
x8.1,-0.217509026479155,-0.330339193800459,-0.170143453621865
y8.1,-0.0665425159065863,0.0106285657024691,-0.00487628934364893
x9.1,-0.150219170160049,0.0683812161703315,0.0358624171129565
y9.1,0.00512002260171661,0.022782771160506,0.0263019188574179
x10.1,-0.152903879025713,0.0794510818877039,0.0416008648573131
y10.1,0.0382505526256832,0.00982705271046744,-0.00492446702513462
x11.1,-0.0820177359638362,0.103021295225051,0.0174383466345782
y11.1,0.0873594614222473,0.000389303215372102,-0.00826017692365416
x12.1,-0.0870248489678163,0.0937518153943209,0.0819283261575702
y12.1,0.00604514450038244,-0.0117089145893971,0.0389846600595719
x13.1,-0.0350094995555258,0.10547550946512,0.041030463787228
y13.1,-0.00129327821329954,-0.0317157747969429,0.0436319955073017
x14.1,0.0622140271256912,0.0399204217114013,-0.0272555885478063
y14.1,-0.0343991683567456,-0.0188955506826929,0.0138439405416031
x15.1,0.0951167029699676,0.00837031047207932,-0.0528516908235584
y15.1,-0.0870893998509881,0.010761546476927,0.0861563417963786
x16.1,0.082736974635578,0.00805818048127169,-0.0256884425058247
y16.1,-0.158109766348406,0.0466834098242092,0.129655628324775
x17.1,0.045360550693061,0.0216523628521482,0.00638368208882617
y17.1,-0.194561285893952,0.0475268220729916,0.115282029795483
x18.1,0.0144298536556692,0.0300552190626014,0.0190082856925984
y18.1,-0.194902251202244,0.0396226640835161,0.0923991858706293
x19.1,-0.0270386870307352,0.0454567730775502,0.0109206554541536
y19.1,-0.157720165499613,0.0461261866022833,0.0344591032485446
x20.1,-0.0410822011072488,0.0557740686733281,0.0044303181764813
y20.1,-0.11006742717773,0.0375159633550876,-0.0255727023451143
x21.1,-0.0199449263580822,0.0613952732693291,-0.0396143511894424
y21.1,-0.022781206363982,0.0210532473614597,-0.0785515395563302
x22.1,0.13705400034727,0.0799653896559764,-0.164205421881957
y22.1,0.0624606281247829,0.00197508965649038,-0.0737233478994553
x23.1,0.0542198507817214,0.0979206535169188,-0.0544788842403168
y23.1,-0.0391393629693233,-0.0671166117476198,0.0491588654490924
x24.1,0.0124789983321161,0.0763456050985831,0.0102244912282601
y24.1,0.00421649542976914,-0.079793186112322,-0.0206185899008685
x25.1,0.0182566558927828,0.0354029639170024,0.00661823488991322
y25.1,0.104583388588136,-0.0678510356343682,-0.112794924785028
x26.1,0.0455819254028936,0.0249215728637798,-0.00631079989637438
y26.1,0.127849157445225,-0.054052888381661,-0.115243212965659
x27.1,0.0702524745160962,0.0185537729289915,-0.0188912516729159
y27.1,0.132662205519376,-0.0407768609574629,-0.107264590868697
x28.1,0.0956477492557905,0.0139287707526058,-0.0349009783482167
y28.1,0.12071996198853,-0.0216508590001066,-0.0838991405471736
x29.1,0.104816214328199,0.038430128865428,-0.0141935510196282
y29.1,0.00730628245387328,0.0473233048784568,0.0139538589140472
x30.1,-0.0491900201850251,0.130908043495751,0.0281524333090571
y30.1,0.0975544960945535,-0.00339944729204967,-0.0123346305497499
x31.1,-0.0787580718827641,-0.281703240493354,-0.0618657192190845
