,dgrp.PC1,dgrp.PC2,dgrp.PC3
X1,0.224032244416828,0.16216382662391,-0.0650897941826314
Y1,0.18411005754982,-0.129871571354757,0.0122397725949263
X2,0.0478874714941503,-0.154723189784518,0.140695862329582
Y2,0.0101151384024835,-0.00659627896026327,-0.0455980116958775
X3,0.0563687032018276,-0.20589773351854,0.133698336909478
Y3,-0.0629396701854255,0.0626496954741623,0.0511192397072605
X4,0.172750472349463,-0.0995845968022114,-0.582591150370277
Y4,-0.157894617876983,0.0697630885604325,0.129377066114304
X5,-0.0779936606928491,0.00505591095555997,0.00530419171783344
Y5,-0.082618886531219,0.114159806899517,-0.0359822464993811
X6,-0.152247748918399,0.00352474470946676,0.00283543104125563
Y6,-0.0548176335579067,0.114751415974581,0.0204187376236217
X7,0.350187364973491,0.353943435609215,0.0633249556658937
Y7,0.0391483001024018,-0.1870206262368,-0.00514795939363489
X8,0.257673998520819,0.274500486997019,0.126573739127722
Y8,0.0365065235121202,-0.0619975089776821,-0.0246785572834954
X9,-0.144377693845263,0.0871858377073129,0.035069902719008
Y9,0.0418010363116124,0.00926088781207764,0.0142891915025638
X10,-0.169049118576538,0.0910123727304535,0.0377282628767157
Y10,-0.00628531302666051,0.0367081952572382,-0.000813074790634358
X11,-0.178521607417918,0.0489924219699154,-0.0578515824064715
Y11,-0.00549878759638996,0.0765491854004699,0.0375643265777126
X12,-0.121656534017766,0.0360252148711586,-0.0168195425108877
Y12,0.0291170650548817,0.0299104622442309,0.0597522450447199
X13,-0.0874785275332583,-0.0153983212827451,0.0188823562256558
Y13,-0.00900199412870131,0.060438789806545,0.030029313409289
X14,-0.00295408507093788,-0.0741507180538029,0.0131969398098283
Y14,0.0305568001334981,-0.00993428573124831,0.0394118936161631
X15,0.0390695924777019,-0.107978558470173,0.0205266646468246
Y15,0.0972616311294931,-0.0645458450935559,0.0582962190506913
X16,0.0191720272409069,-0.0985991218563369,0.0151600401093538
Y16,0.154332508492216,-0.124296679666514,0.0923401423650327
X17,-0.0186594474561511,-0.0654429876342842,-0.00125276838264324
Y17,0.138968373268296,-0.171886617200497,0.0704736934848431
X18,-0.0408550599584942,-0.0351994848049416,-0.00605782364299482
Y18,0.113143831428067,-0.180740468554558,0.0468980249645018
X19,-0.0730296498573552,-0.0042556879995094,0.0058035474913839
Y19,0.0948661487638082,-0.129734149116949,-0.0209631727767491
X20,-0.0867486447038636,0.00389520142120877,0.019568950923836
Y20,0.0658939723972611,-0.0845295674377849,-0.0513589954042893
X21,-0.0718584008564547,-0.0193859683459045,0.050125383769342
Y21,0.000786154480992291,-0.0118938363489002,-0.0854119702837884
X22,0.0416585116338522,-0.175952332916821,0.134776375412672
Y22,-0.0639892775823207,0.0502286620315499,-0.0827527475086522
X23,-0.0223487335932076,-0.0658509647243025,0.0906413148171057
Y23,-0.000160383756283118,-0.0649976486462344,0.0124763139135261
X24,-0.0558762353805922,-0.0156503583065001,0.0517273090647787
Y24,-0.0491584126531211,-0.0104594121614893,-0.0145802009669979
X25,-0.0329890281053401,-0.0217661718607685,0.0427062437352217
Y25,-0.126650309852858,0.0848486399298388,-0.0471774574293433
X26,-0.00842126728786584,-0.0435610443113051,0.0464083610644434
Y26,-0.133955277331996,0.10123324089273,-0.047817410483321
X27,0.0117530975051319,-0.0629563679628617,0.0492209107514708
Y27,-0.123882828219958,0.100929882677997,-0.0472959753584353
X28,0.0322913074159255,-0.0840885037034812,0.0532383663887075
Y28,-0.0987609363422694,0.0905829501329926,-0.0458589295229892
X29,0.019290250303815,-0.103505305572751,0.0350422813806172
Y29,0.0346281951409705,0.0283309059063578,0.02038742573074
X30,-0.12931094700553,-0.00373263565655131,0.00938941667438545
Y30,-0.0106858555598447,0.0798978765578633,0.0499314329780162
X31,0.209380667419773,0.188287007579046,-0.0287131622492117
Y31,0.180999429988271,-0.108452954329647,0.0257204180128273
X32,0.101353736271368,0.17329790185318,-0.00199560408466129
Y32,0.0751133805353771,-0.0839099101869273,0.0449092114492012
X33,0.048751568275129,0.159752400324956,0.00795013840033025
Y33,0.03482216829167,-0.0426606844243731,0.0535383630278056
X34,0.0618076005398418,-0.072487214652726,0.127303821869273
Y34,0.0419117391930243,-0.0353102349223542,-0.0266977971836129
X35,0.0313978528657582,-0.0487805466076574,0.102838262298581
Y35,0.0437115800632617,-0.0526410401691983,-0.0199854391851409
X36,-0.0139206532569364,-0.00983423476998528,0.0608165077722909
Y36,0.0469857963694005,0.0127617614086924,-0.00981629377232393
X37,-0.0623089590241536,0.024805257768286,0.0333223049627701
Y37,0.0173159524278618,0.0408716674353062,0.0280528516853665
X38,0.00935301046027376,-0.146406239999614,0.103122689968116
Y38,-0.0425925587122681,0.0185716322354087,-0.00401137858083522
X39,-0.0279898194648583,-0.0989468574191092,0.0826982892710134
Y39,-0.0355685315687271,0.00894367819700283,-0.0185891384437005
X40,-0.0706069223432407,-0.0452518034188529,0.0602043155138538
Y40,-0.0275393941426486,0.0168536590949103,-0.023846425660292
X41,-0.117002860644574,0.0125819667102078,0.035549155010138
Y41,-0.01306815294981,0.0177613006023003,-0.0189493920604938
X42,-0.1686150804038,0.0731839831605987,-0.000524971557043663
Y42,-0.00501570973747826,0.0526520460110803,0.0124325008264609
X43,0.0948907468744917,-0.0760883704847017,-0.43289944243969
Y43,-0.120982527777652,0.070788135487073,-0.0144189629093257
X44,0.0386970104032392,-0.0490985368917524,-0.343067420319419
Y44,-0.100139583284756,0.0661475964650149,-0.0533621169083572
X45,-0.0254808396642336,-0.0194818181695234,-0.237763001471929
Y45,-0.0853272639865234,0.0684128436422135,-0.0801003136266719
X46,-0.0909822252764759,0.0105694297668197,-0.144989683698932
Y46,-0.0657340646940561,0.0682670321608678,-0.0553824202416502
X47,-0.104867619734721,-0.000498471552485433,0.00933603704134338
Y47,-0.0755062801706016,0.127908831251249,-0.00983064898057537
X48,0.28838412058715,0.315776737778995,0.0948292630841032
Y48,0.0456784579464974,-0.118704549078443,-0.019231339337924
