EntrySeqNo CPFile File isSelected
23 wing1022 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30023.tif 1
19 wing1018 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30019.tif 1
12 wing1011 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30012.tif 1
21 wing1020 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30021.tif 1
15 wing1014 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30015.tif 1
1 wing1000 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30001.tif 1
5 wing1004 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30005.tif 1
13 wing1012 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30013.tif 1
7 wing1006 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30007.tif 1
3 wing1002 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30003.tif 1
20 wing1019 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30020.tif 1
11 wing1010 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30011.tif 1
4 wing1003 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30004.tif 1
17 wing1016 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30017.tif 1
6 wing1005 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30006.tif 1
8 wing1007 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30008.tif 1
9 wing1008 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30009.tif 0
10 wing1009 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30010.tif 0
24 wing1023 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30024.tif 0
2 wing1001 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30002.tif 0
25 wing1024 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30025.tif 0
16 wing1015 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30016.tif 0
14 wing1013 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30014.tif 0
22 wing1021 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30022.tif 0
18 wing1017 D:\HoulesLab\projects\SDV\ds\CRA\Gen1\F\small\dscra1f_30018.tif 0
