"","pop","sex","ind","block","new_ID","pop_yr","Tail","Tube_ID","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","x21","y21","x22","y22","x23","y23","x24","y24","x25","y25","x26","y26","x27","y27","x28","y28","x29","y29","x30","y30","x31","y31","x32","y32","x33","y33","x34","y34","x35","y35","x36","y36","x37","y37","x38","y38","x39","y39","x40","y40","x41","y41","x42","y42","x43","y43","x44","y44","x45","y45","x46","y46","x47","y47","x48","y48","CSize","up_diff_m","up_diff_f","up_reg","dn_diff_m","dn_diff_f","dn_reg","ds_proj"
"1","fvw","M","0006","1","fvw_M_1_0006","fvw12","Right","fvw_0006",-0.050682315,-0.106582195,-0.220836735,-0.032233155,-0.23950731,0.01314447,-0.15902406,0.087933575,0.122336185,0.0578629,0.19726529,0.043193975,0.007117045,-0.05137371,0.000608735,-0.014673175,0.09425482,-8.2425e-05,0.09425594,0.016569645,0.14962663,0.016125125,0.1738274,-0.01287388,0.19623665,-0.02843486,0.179263155,-0.07204199,0.1433178,-0.10221066,0.096823475,-0.11663835,0.048071635,-0.11849016,-0.00079809,-0.114269065,-0.09547637,-0.097663165,-0.140946995,-0.084225085,-0.185343915,-0.06251961,-0.2368244,-0.005991955,-0.218033445,0.05296952,-0.187151745,0.07563291,-0.102183525,0.09901568,-0.054285605,0.099439175,-0.004799855,0.094418385,0.055879735,0.083801525,0.151810465,0.03466577,0.198205295,0.01947529,-0.026720295,-0.07343863,0.057286705,-0.03475742,0.11489951,-0.022305355,-0.14978234,-0.019964315,-0.07519613,-0.01348153,0.04520376,-0.00896021,0.144320155,0.000692385,-0.17619564,0.026068465,-0.11870341,0.030751925,-0.05301457,0.031553275,0.02001885,0.02879813,0.11736009,0.01625808,-0.10576625,0.07459213,-0.050489425,0.06735739,0.012202785,0.05753949,0.07394891,0.04249908,0.15703681,0.0568837,0.000584605,-0.034031095,4.416,-0.00293022185125659,-0.00223987994407251,-0.000278705515383923,0.000479987240955208,0.000185202298847707,3.83107584075417e-05,-0.520488633767658
"2","fvw","M","0011","1","fvw_M_1_0011","fvw12","Left","fvw_0011",-0.050864355,-0.11669707,-0.21585948,-0.028872565,-0.23326866,0.020941645,-0.142139935,0.09526374,0.117475925,0.06381428,0.19394845,0.05209372,-0.008165575,-0.0660984,-0.010018125,-0.017709105,0.08719973,0.000633995,0.08639625,0.01898623,0.149539055,0.02146915,0.16849153,-0.00990301,0.195135485,-0.02021918,0.182188075,-0.07262168,0.148888445,-0.10665342,0.101747415,-0.126943025,0.050549605,-0.13099444,0.000139755,-0.12621941,-0.09588853,-0.1055972,-0.14146913,-0.088643785,-0.18399936,-0.062249445,-0.229582235,-0.0041043,-0.218662555,0.05297252,-0.188010825,0.07714365,-0.101386485,0.10170068,-0.052607675,0.101903365,-0.002418075,0.09629838,0.05899681,0.08497993,0.156970245,0.036588355,0.193465915,0.02758497,-0.02972129,-0.083242595,0.05227192,-0.04001468,0.109133875,-0.02375941,-0.14778046,-0.02178616,-0.075464025,-0.01754047,0.041374825,-0.00932789,0.138548315,0.003368535,-0.173457445,0.0308595,-0.11686831,0.033575045,-0.052347705,0.03373551,0.01925956,0.030355235,0.114988905,0.020065285,-0.093103225,0.07827555,-0.040719135,0.070255655,0.01845343,0.059365655,0.07670426,0.044183755,0.15301992,0.065405515,-0.011085105,-0.04262261,4.322,-0.00105701271015941,-0.000439551263184129,-1.9948627099761e-06,-0.000791639986432229,-0.00108704891842318,-0.000150980119147661,-0.309513299107585
"3","fvw","M","0037","1","fvw_M_1_0037","fvw12","Right","fvw_0037",-0.046816435,-0.10943731,-0.223465885,-0.02931471,-0.24016393,0.01854818,-0.1510682,0.091621945,0.120852675,0.057748635,0.193709145,0.04541273,0.0069221,-0.056705025,-0.000758275,-0.015796025,0.09592254,3.356e-05,0.0939187,0.01630839,0.150436055,0.017458995,0.171826735,-0.012513805,0.196892205,-0.022718205,0.179520325,-0.0712552,0.142640085,-0.1000701,0.096610815,-0.11497524,0.047977865,-0.11877422,-0.001023585,-0.115763515,-0.096064025,-0.10009796,-0.141764715,-0.086277825,-0.18602689,-0.06345029,-0.23700762,-0.006540995,-0.220028425,0.053934225,-0.188603835,0.076644985,-0.10300498,0.099514145,-0.05507601,0.099277115,-0.00573599,0.093340565,0.05468832,0.081989975,0.15118505,0.035308295,0.195362285,0.02029013,-0.023173155,-0.07773235,0.057907065,-0.03764712,0.114049605,-0.023650845,-0.15176704,-0.019780625,-0.07692844,-0.01496427,0.043920465,-0.009778085,0.14315977,0.001054875,-0.177313205,0.028119575,-0.11953033,0.030648435,-0.05365007,0.030691035,0.01950941,0.028205975,0.11713454,0.01668273,-0.09848476,0.07663891,-0.04466826,0.067371125,0.01637575,0.05647279,0.07674287,0.041997815,0.154892445,0.059210325,-3.275e-05,-0.03728174,4.279,-0.00253903460407342,-0.00178945140014638,-0.000253189813425498,8.61656099564611e-05,-0.000191515895141064,-2.39397211609273e-05,-0.479501485553814
"4","fvw","M","0042","1","fvw_M_1_0042","fvw12","Left","fvw_0042",-0.04530758,-0.11409222,-0.2228455,-0.027857,-0.23659137,0.02023707,-0.14118858,0.09562688,0.11448019,0.06542255,0.19354155,0.05076504,0.00879976,-0.05939195,0.00108859,-0.0190689,0.08480076,-0.00229795,0.08304237,0.0158166,0.14740241,0.01933539,0.16597924,-0.01294336,0.19792743,-0.02353457,0.18098758,-0.07141951,0.1467526,-0.10378487,0.10030967,-0.12267745,0.05001516,-0.12590753,6.525e-05,-0.12135295,-0.09620969,-0.10366632,-0.14259063,-0.08894351,-0.18699988,-0.06440827,-0.23450054,-0.00482159,-0.21883564,0.05316135,-0.18808199,0.07669308,-0.10216314,0.1023749,-0.05335553,0.10337227,-0.00301136,0.09834638,0.05857532,0.087084,0.15447082,0.03356961,0.19504611,0.02527678,-0.02345377,-0.0817159,0.0555999,-0.04136593,0.11020552,-0.02622216,-0.15153858,-0.02136391,-0.07791876,-0.01670534,0.04110392,-0.01122904,0.13849521,0.00049427,-0.17568131,0.03050086,-0.11899834,0.03396606,-0.05433202,0.03330921,0.01719969,0.02772796,0.11320442,0.01706879,-0.09265003,0.07767471,-0.04075988,0.06905498,0.01794898,0.05830074,0.07614353,0.044665,0.15118768,0.0649915,0.00264046,-0.04006576,3.7925,-0.00082231426633281,-0.000216204536098999,-6.51732228918043e-05,-0.000778535816874562,-0.00103753270283072,-0.000130144480926286,-0.30715783220711
"5","fvw","M","0059","1","fvw_M_1_0059","fvw12","Right","fvw_0059",-0.05263581,-0.10955051,-0.21984868,-0.030800435,-0.23816864,0.01655192,-0.15929424,0.090036605,0.122693475,0.057100885,0.194274145,0.04399701,0.00903745,-0.055444465,0.004835305,-0.01546193,0.09769114,0.000606675,0.09652574,0.015532285,0.1521592,0.017090245,0.169817325,-0.01306337,0.19568128,-0.022399135,0.17682211,-0.070195235,0.14163285,-0.10067258,0.09576299,-0.117346545,0.04678694,-0.121361405,-0.002349445,-0.117719705,-0.09701464,-0.099824325,-0.1422272,-0.084977645,-0.185743955,-0.061671185,-0.235096475,-0.005552875,-0.219877755,0.05267864,-0.18957838,0.076436535,-0.104166455,0.10033792,-0.056173785,0.09996858,-0.006876515,0.093777615,0.05355814,0.082339035,0.1497863,0.03522345,0.19474947,0.021524445,-0.026578965,-0.078742115,0.055126835,-0.038365725,0.11178179,-0.0236445,-0.14809793,-0.02117228,-0.073910665,-0.015462025,0.046013705,-0.009750725,0.14384973,0.001917445,-0.17426057,0.0279452,-0.11654572,0.03151473,-0.05071908,0.031127195,0.02235317,0.028245475,0.119882315,0.016256815,-0.104052625,0.07907819,-0.04855895,0.069986885,0.014381295,0.058425075,0.076463285,0.042824325,0.1565148,0.0588871,0.0035957,-0.036231555,4.41775,-0.00271972893355447,-0.00200071546413533,-0.000248529197523345,0.000248999008921449,-3.93187049415132e-05,-3.57419967186522e-06,-0.507380181590048
"6","fvw","M","0062","1","fvw_M_1_0062","fvw12","Right","fvw_0062",-0.052719205,-0.108850145,-0.22213465,-0.025599725,-0.237748965,0.01895418,-0.15598199,0.08755941,0.124481865,0.05817625,0.19619633,0.047320435,-0.00193985,-0.05982574,-0.0029929,-0.016492245,0.096389155,0.0001165,0.094195295,0.017151025,0.15128838,0.01906141,0.16540577,-0.01238554,0.200179835,-0.022941545,0.18130074,-0.07173985,0.144570945,-0.10109538,0.09841465,-0.117132375,0.04941892,-0.121219795,0.000226655,-0.117667745,-0.09453674,-0.099441105,-0.1398025,-0.084713345,-0.18343625,-0.061623825,-0.233786085,-0.006061635,-0.21869286,0.053342635,-0.18702871,0.075322535,-0.101759765,0.0967754,-0.054048905,0.096962995,-0.00466287,0.09209053,0.056107695,0.082322805,0.1528279,0.03559356,0.1985164,0.026637285,-0.02887934,-0.07831308,0.0520014,-0.039250305,0.10767771,-0.0245094,-0.150670495,-0.0187979,-0.075772165,-0.015158585,0.04545395,-0.010087315,0.14507571,0.002803425,-0.175305415,0.029760105,-0.11771672,0.03205142,-0.05210254,0.03144956,0.02070558,0.028273935,0.118004395,0.01788289,-0.10178025,0.075815645,-0.047212145,0.066712785,0.01475513,0.0559334,0.07618294,0.042260995,0.158118375,0.06105844,-0.006784395,-0.038482985,4.32375,-0.00266120638339966,-0.00192715223937284,-0.000202286689285624,0.0002621383412281,-5.43974630782551e-05,-1.65574249140648e-05,-0.498616684451059
"7","fvw","M","0065","1","fvw_M_1_0065","fvw12","Right","fvw_0065",-0.055847865,-0.108948775,-0.217240195,-0.02943594,-0.235946275,0.016527415,-0.162186915,0.08768646,0.120382365,0.05891125,0.19597749,0.04552467,0.00655808,-0.05699394,-0.00178792,-0.016730215,0.092927795,-0.00094463,0.09148256,0.01646663,0.150069435,0.01733132,0.173590175,-0.01212638,0.19815238,-0.02103565,0.179684035,-0.07151156,0.145104235,-0.10396936,0.09792418,-0.11971852,0.04845567,-0.122715315,-0.00087161,-0.11860601,-0.09561383,-0.099556665,-0.140612635,-0.083955295,-0.183684985,-0.060087355,-0.23258445,-0.00444962,-0.21796815,0.052862905,-0.18746289,0.076091195,-0.102233975,0.0999109,-0.054157105,0.100143825,-0.004572635,0.09477297,0.05614684,0.08369127,0.152150315,0.034540095,0.196832215,0.02143428,-0.028123735,-0.07909377,0.05592081,-0.038897625,0.1139359,-0.02367346,-0.147475305,-0.019223495,-0.0740088,-0.013973805,0.044645655,-0.01059532,0.14246457,-0.000367735,-0.17399871,0.029026005,-0.116862375,0.032530665,-0.051753535,0.031777065,0.020494045,0.02835397,0.1169655,0.01664989,-0.106719215,0.077454995,-0.051098625,0.068835535,0.01203541,0.05809199,0.07446291,0.04369007,0.156339745,0.06202986,0.00010942,-0.037724755,4.72625,-0.00251463824463754,-0.00185580097257987,-0.000198082889547056,0.000266213059283303,-2.7765515432574e-05,-9.40639974196421e-06,-0.480752320210411
"8","fvw","M","0070","1","fvw_M_1_0070","fvw12","Left","fvw_0070",-0.05110393,-0.11313375,-0.21685989,-0.0330035,-0.2345314,0.01567313,-0.145519155,0.09349137,0.121455555,0.064136005,0.19625542,0.0487881,0.001519855,-0.05963309,-0.012255595,-0.016830065,0.081856885,-0.000208695,0.080287815,0.01890342,0.147767015,0.019180955,0.168997425,-0.013096835,0.195995025,-0.024998085,0.183804935,-0.07324897,0.1485829,-0.105557605,0.101327945,-0.1231432,0.05105694,-0.12662586,0.00105666,-0.122227945,-0.094896805,-0.103083535,-0.140808335,-0.087578635,-0.184804095,-0.06311891,-0.23271836,-0.004557565,-0.2157331,0.05183282,-0.185787815,0.07561473,-0.100599735,0.10252209,-0.05175332,0.10410827,-0.001268405,0.099688075,0.06060925,0.08901599,0.156561665,0.034634735,0.1968527,0.02339691,-0.027414155,-0.080983505,0.05375401,-0.03883079,0.11045596,-0.024285245,-0.14931372,-0.023139185,-0.076894625,-0.017250345,0.039578295,-0.007462665,0.138304235,0.000850435,-0.175169415,0.02762335,-0.118799955,0.032187065,-0.05437757,0.032811455,0.017108065,0.02893728,0.112670535,0.018459855,-0.09474813,0.07958079,-0.0421857,0.071068275,0.01736734,0.06020971,0.07624362,0.04580691,0.156159515,0.063061575,-0.00808637,-0.039585315,4.42325,-0.00108997317415273,-0.00051864456599421,-3.72847767465731e-05,-0.000594334461312299,-0.000881718102230673,-0.000104635404614594,-0.305402422913634
"9","fvw","M","0071","1","fvw_M_1_0071","fvw12","Right","fvw_0071",-0.05454207,-0.109991205,-0.221355265,-0.025063045,-0.235136505,0.015965365,-0.159122395,0.08815637,0.120738705,0.058447635,0.195748045,0.048412555,0.004758305,-0.05509049,0.001519725,-0.01622758,0.09237889,0.00033628,0.08997689,0.016762945,0.1555397,0.018536555,0.171987265,-0.00986678,0.19591272,-0.025385275,0.178738205,-0.07238955,0.14341682,-0.10346935,0.097065625,-0.120775185,0.047559835,-0.12404161,-0.001729955,-0.119427745,-0.09643102,-0.10029553,-0.141621445,-0.085072105,-0.184873415,-0.061182065,-0.2323282,-0.00435071,-0.217744655,0.052179685,-0.187502685,0.075421235,-0.102521775,0.099191355,-0.05452165,0.09937182,-0.005000325,0.09396755,0.055689905,0.083067605,0.152721465,0.03595784,0.19655482,0.024408805,-0.029142015,-0.077701015,0.05457231,-0.03633157,0.11264803,-0.021951675,-0.14981706,-0.01865675,-0.075782705,-0.01476731,0.043936785,-0.009872445,0.141806035,0.0018923,-0.17423692,0.027950835,-0.116431185,0.03045712,-0.0505983,0.02995183,0.02247015,0.027374605,0.12014114,0.01721957,-0.10538777,0.075224005,-0.049214655,0.06707895,0.014410685,0.05638184,0.077384675,0.04228144,0.1558475,0.062187345,0.00151776,-0.036274445,4.7815,-0.00253487675910183,-0.00182314265418702,-0.000196045631426927,0.000220140520821025,-0.000101002944484316,-8.79912447819007e-06,-0.482263932451419
"10","fvw","M","0080","1","fvw_M_1_0080","fvw12","Right","fvw_0080",-0.059447755,-0.107634505,-0.22224252,-0.024592915,-0.237266855,0.018086735,-0.15347719,0.086802175,0.12112682,0.06085239,0.194372,0.04830563,-0.001426245,-0.058705855,-0.005747095,-0.0153508,0.095003545,-0.00050802,0.09371156,0.01760783,0.15288979,0.018533885,0.174038765,-0.012188875,0.200608085,-0.021167605,0.18118092,-0.072504825,0.14460285,-0.102843235,0.097817155,-0.11763023,0.048798835,-0.12068969,-0.00029828,-0.11718308,-0.095073565,-0.099860745,-0.14036667,-0.085361305,-0.183773705,-0.06192253,-0.232992825,-0.00593988,-0.218778175,0.0528247,-0.186994275,0.07430977,-0.102026165,0.09514702,-0.05447339,0.09569277,-0.00513274,0.091508375,0.055632485,0.08242395,0.15274271,0.03635524,0.19646405,0.02501104,-0.03246402,-0.077314995,0.054287665,-0.04008132,0.11322321,-0.025235005,-0.15136441,-0.01738049,-0.076749705,-0.014317135,0.043913315,-0.01050796,0.143479575,0.000830075,-0.17415362,0.02878153,-0.1164815,0.031649175,-0.05074432,0.030954415,0.022262075,0.02932917,0.119707815,0.017801835,-0.10119959,0.072337835,-0.046255895,0.066443875,0.01600699,0.057848165,0.077566155,0.04449974,0.15554411,0.06272825,-0.006049955,-0.037744575,4.57675,-0.00278639241868544,-0.00199680794034137,-0.000205168048217366,0.000249075210397604,-6.47893056030877e-05,-2.35187054902713e-05,-0.50813337627146
