,wild.PC1,wild.PC2,wild.PC3
x1,-0.184882051704989,-0.104436423874935,0.167957741246833
y1,0.0994354139005151,-0.13823697908782,-0.15199319009292
x2,0.0528453705191585,0.127166256018525,0.0742329249786508
y2,-0.0221482498242871,-0.0186455029489922,0.00245032760596031
x3,0.0567686435833607,0.179390145399416,0.0972547407572907
y3,-0.168334078087589,0.00164415786934791,0.0567227472798927
x4,-0.411262729511416,0.101841763547837,-0.213815673998777
y4,-0.270886334923145,0.0127289801066599,0.0116858447819228
x5,0.0229116930364225,-0.0626251600561157,-0.13142313912378
y5,0.0286512086369499,0.178088512224749,0.0697750388159844
x6,0.099452306747141,0.0157523132314783,-0.11422930292776
y6,0.0554121122275506,0.186759972170191,0.0982626991389592
x7,-0.118643510956866,-0.283537742298073,0.342922459252569
y7,0.0493591548320438,-0.195461208689213,-0.0683691959222132
x8,-0.0549473699369483,-0.284870021071545,0.305709173871595
y8,0.0452083696499717,-0.054990046301478,0.00206790561654822
x9,0.101223101535485,-0.141599252351261,-0.0499040941349488
y9,0.0578951347978249,0.0255941478688783,-0.00305325232654982
x10,0.0885730115892114,-0.15704921821099,-0.0785524892422932
y10,0.0469713282186306,0.0665432613564348,0.0228178625712362
x11,0.11848087968384,-0.0374515835137984,-0.0868104432864304
y11,0.0652009611419696,0.124331279228765,0.0564919224634605
x12,0.0911771501030609,-0.0356904769879247,-0.0935470686806488
y12,0.086129656586102,0.0577440968024379,0.0527923739253115
x13,0.0519625694433513,0.0150437763987947,-0.0802138081514228
y13,0.11249337502341,0.0811338141012663,0.0946340310237341
x14,0.0799828010828682,0.121900655783494,0.0343466173178416
y14,0.0864550423066056,0.0105663196875002,0.0571335491697344
x15,0.0207765267554453,0.125995771047335,0.0657794582849557
y15,0.0232338710757641,-0.0730555911225762,-0.0730277738004961
x16,-0.0154542073326122,0.097103545587466,0.0338596405543349
y16,0.0582873112900647,-0.133293289658203,-0.137568139353985
x17,-0.0269561389868828,0.0553723459743737,-0.00582714806472257
y17,0.0704507906209146,-0.165723927309712,-0.142440764973995
x18,-0.0177063177153004,0.0269355205997958,-0.0161434083829979
y18,0.0650132679339042,-0.172838369257169,-0.131778127396068
x19,0.0979914076450858,0.0358884723273583,0.0325444257136708
