2R	17491270	17491270	2R	17485002	17493169	"FBgn0050104"	"NT5E-2"	0
2R	17498059	17498059	2R	17493695	17495998	"FBgn0050103"	"CG30103"	2061
2R	17515133	17515133	2R	17514217	17517445	"FBgn0034230"	"CG4853"	0
2R	20537878	20537878	2R	20536578	20538264	"FBgn0034513"	"CG13423"	0
2R	23601278	23601278	2R	23600914	23601773	"FBgn0260455"	"CG10332"	0
2R	23601278	23601278	2R	23600914	23601773	"FBgn0067903"	"IM18"	0
2R	23613785	23613785	2R	23607592	23614710	"FBgn0034885"	"Eglp4"	0
2R	23613785	23613785	2R	23603722	23616754	"FBgn0034883"	"Eglp2"	0
2R	23646252	23646252	2R	23632610	23654820	"FBgn0004795"	"retn"	0
3L	12831924	12831924	3L	12824880	12843106	"FBgn0036316"	"CG10960"	0
3L	20999119	20999119	3L	20992814	21027434	"FBgn0003415"	"skd"	0
3R	21523866	21523866	3R	21520928	21528598	"FBgn0038890"	"CG7956"	0
3R	2559549	2559549	3R	2554162	3263582	"FBgn0267430"	"Pzl"	0
X	14891220	14891220	X	14839376	14933946	"FBgn0264078"	"Flo2"	0
X	14891220	14891220	X	14885952	14896891	"FBgn0030592"	"CG9514"	0
X	16039731	16039731	X	16009114	16061722	"FBgn0052580"	"Muc14A"	0
X	793052	793052	X	793147	797061	"FBgn0025621"	"CG16989"	95
X	9448676	9448676	X	9358496	9500129	"FBgn0261260"	"mgl"	0
